1,modzcta,all_years_avg_testers,all_years_avg_offers,all_years_wt_avg,2015_19_avg_testers,2015_19_avg_offers,2015_19_wt_avg,avg_testers_2020,avg_offers_2020,wt_avg_2020,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020,cum_ave_death_rate
127,11379,32,21.3333333333333,6.80952380952381,30,19.3333333333333,6.80952380952381,36.3333333333333,6.66666666666667,7.38532110091743,800,3217,24.9,30,234.7,40.9,21.8,NA,NA,NA,NA,13.6,NA,81.85
128,11385,64,35,23.5882352941176,66.5,38,23.0882352941176,51,12.25,16.5147058823529,2152,7901,27.2,24.1,109.1,23.2,5.8,NA,NA,0,NA,NA,4.8,32.44
129,11411,7,6,5,7.5,6.5,5,7,5,5,681,2117,32.2,28.1,201.1,28.1,NA,0,NA,NA,NA,0,NA,64.325
130,11412,14.5,8,5,24.5,18.5,5,11.5,5,5,1233,3897,31.6,28.9,186.4,28.9,NA,0,0,0,NA,NA,NA,40.7
131,11413,21.6,10.5,5,25.1,14,5,16.4,5,5,1312,4092,32.1,39.3,185.2,37,NA,0,0,0,NA,0,NA,43.58333333333333
132,11414,13.8333333333333,8.5,5,15.3333333333333,10.5,5,12.6666666666667,5,5,797,2536,31.4,49.4,186.9,31.7,NA,NA,0,0,0,0,21.2,53.6
133,11416,155.5,73,13.5,149,66.5,11,132,13,13,708,2275,31.1,26.5,174.3,22.7,NA,NA,0,NA,NA,NA,18.9,55.875
134,11417,136.5,74,13.1013986013986,145.5,83.5,13.6013986013986,129.5,6.5,6.1003861003861,882,3066,28.8,22.6,125.6,16.1,NA,0,NA,0,NA,NA,NA,32.86
135,11420,47.1666666666667,24.6666666666667,5.99328859060403,48.1666666666667,26.1666666666667,5.99328859060403,44,5,5,1345,4326,31.1,29.3,169.3,39.7,NA,0,0,0,NA,0,12.5,39.71666666666667
136,11422,23.5,12,5,26,14,5,19,5,5,969,3200,30.3,40.1,166.7,34,0,0,0,0,0,NA,NA,34.4
137,11423,64,26.5,6.275,78,41,6.775,47.5,5,5,1073,3354,32,48.2,350.1,51.4,16.1,NA,NA,NA,0,NA,19.3,116.45
138,11426,36.5,19.5,6.15,35.5,18.5,6.15,33,5,5,499,1711,29.2,NA,128.9,34.7,NA,NA,0,0,0,0,NA,40.900000000000006
139,11428,60.5,29,7.11347517730496,59,27.5,7.61347517730496,50.5,5,5,674,2004,33.6,26.9,258.3,43.1,NA,NA,0,0,NA,0,NA,65.66
140,11432,36,24.75,16.4926470588235,39,27.75,15.4926470588235,38.5,11,13.9220779220779,1804,6078,29.7,54.3,312.7,67.5,19.8,NA,0,NA,NA,NA,21.4,90.86
141,11433,16,10.7,5.36,17,12.2,5.36,17,5,5,943,3157,29.9,30.1,230,30.1,NA,0,0,NA,NA,0,16.4,58.04
142,11434,28.1666666666667,13,5,25.6666666666667,10.5,5,21,5,5,2078,6901,30.1,44.9,236.7,56.9,9,7.5,NA,0,NA,NA,15,59.166666666666664
143,11435,178,89.5,16,179,90.5,20,157,10,10,1615,5688,28.4,30.8,215.7,58.2,NA,NA,0,0,0,12,NA,60.94
144,11691,21.6666666666667,12.5,5,18.1666666666667,9,5,20.5,5,5,2328,8028,29,65.8,471.2,74.8,29.9,9,NA,NA,NA,NA,10.5,130.14
145,11692,9,6.5,5,7.5,5,5,8,5,5,604,2246,26.9,52.3,399.4,85.6,33.3,NA,0,NA,NA,0,NA,114.12
146,11693,9,9,5,5,5,5,13.5,5,5,326,1137,28.7,55.2,260.4,0,0,NA,NA,0,NA,0,NA,63.12
147,11694,33.75,22.75,29.3636363636364,34.25,23.25,28.8636363636364,31.25,11.5,21.64,700,2513,27.9,24.1,375.4,81.8,NA,NA,NA,NA,NA,0,NA,160.43333333333334
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6727,7603,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,10005,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,567,10.8,0,NA,0,0,0,NA,NA,0,0,NA,0
NA,10006,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,258,9.3,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0
NA,10007,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,611,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
NA,10012,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,1412,11.5,NA,56.2,NA,NA,0,0,0,0,0,NA,14.05
NA,10013,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,1999,13.1,NA,48.6,NA,NA,0,0,NA,NA,NA,NA,16.2
NA,10014,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,2369,12.6,16.5,62.6,NA,NA,NA,0,0,0,0,NA,19.775
