zip,modzcta,dbn,feeder_school,n_hs_applicants,n_testers,n_offers,year,positive,total,modzcta_cum_perc_pos,3_2020,4_2020,5_2020,6_2020,7_2020,8_2020,9_2020,10_2020,11_2020,12_2020
10004,10004,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,125,63,7,2018,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0
10004,10004,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL (02M896),124,49,5,2019,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0
10004,10004,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL (02M896),123,59,7,2020,31,256,12.1,0,NA,0,NA,NA,NA,NA,NA,0,0
10005,10005,NA,NA,NA,NA,NA,NA,61,567,10.8,0,NA,0,0,0,NA,NA,0,0,NA
10006,10006,NA,NA,NA,NA,NA,NA,24,258,9.3,NA,0,NA,NA,NA,0,NA,NA,NA,NA
10007,10007,NA,NA,NA,NA,NA,NA,58,611,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10009,10009,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,8,5,2015,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M450,EAST SIDE COMMUNITY SCHOOL,16,16,5,2015,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,39,39,6,2015,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,61,10,5,2016,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M450,EAST SIDE COMMUNITY SCHOOL,106,11,5,2016,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,122,63,8,2016,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,58,6,5,2017,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M450,EAST SIDE COMMUNITY SCHOOL,94,16,5,2017,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,126,66,14,2017,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,40,6,5,2018,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
10009,10009,01M450,EAST SIDE COMMUNITY SCHOOL,108,18,5,2018,689,4627,14.9,17.5,91,31.5,NA,0,NA,NA,0,0,12.2
