zip,modzcta,dbn,n_hs_applicants,n_testers,n_offers,year,borough,positive,total,modzcta_cum_perc_pos
10027,10027,05M161,116,11,5,2016,MANHATTAN,1026,4767,21.5
10027,10027,05M286,93,26,5,2016,MANHATTAN,1026,4767,21.5
10027,10027,05M362,97,45,20,2016,MANHATTAN,1026,4767,21.5
10027,10027,05M514,67,6,5,2016,MANHATTAN,1026,4767,21.5
10027,10027,06M223,82,73,5,2016,MANHATTAN,1026,4767,21.5
10027,10027,03M076,59,5,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,03M180,60,22,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,05M129,55,21,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,05M161,122,16,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,05M286,82,15,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,05M362,97,42,23,2017,MANHATTAN,1026,4767,21.5
10027,10027,05M514,66,11,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,06M223,87,81,5,2017,MANHATTAN,1026,4767,21.5
10027,10027,03M076,59,5,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,03M180,51,5,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,05M129,66,15,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,05M161,122,17,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,05M286,44,5,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,05M362,98,39,18,2019,MANHATTAN,1026,4767,21.5
10027,10027,05M514,40,8,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,05M517,25,8,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,06M223,95,87,5,2019,MANHATTAN,1026,4767,21.5
10027,10027,03M076,42,10,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,03M180,49,10,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,05M129,44,5,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,05M161,110,12,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,05M286,29,5,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,05M362,99,20,15,2020,MANHATTAN,1026,4767,21.5
10027,10027,05M514,50,10,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,05M517,51,19,5,2020,MANHATTAN,1026,4767,21.5
10027,10027,06M223,92,77,5,2020,MANHATTAN,1026,4767,21.5
10028,10028,NA,NA,NA,NA,NA,NA,468,3707,12.6
10029,10029,04M012,47,47,27,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M057,26,26,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M072,5,5,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M108,11,11,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M171,43,43,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M224,25,25,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M372,10,10,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M610,5,5,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M825,6,6,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M964,5,5,5,2015,MANHATTAN,1812,7494,24.2
10029,10029,04M012,59,55,38,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M057,99,24,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M072,84,15,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M108,88,6,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M171,96,41,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M224,44,20,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M372,86,5,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M610,55,6,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M825,82,9,5,2016,MANHATTAN,1812,7494,24.2
10029,10029,04M012,56,54,27,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M057,99,20,5,2017,MANHATTAN,1812,7494,24.2
10029,10029,04M072,83,11,5,2017,MANHATTAN,1812,7494,24.2
