date,zcta,deathrate
5/2020,11691,74.8
5/2020,11692,85.6
5/2020,11693,0
5/2020,11694,81.8
5/2020,11697,NA
6/2020,10001,NA
6/2020,10002,9.3
6/2020,10003,0
6/2020,10004,NA
6/2020,10005,0
6/2020,10006,NA
6/2020,10007,NA
6/2020,10009,NA
6/2020,10010,0
6/2020,10011,NA
6/2020,10012,NA
6/2020,10013,NA
6/2020,10014,NA
6/2020,10016,NA
6/2020,10017,0
6/2020,10018,0
6/2020,10019,NA
6/2020,10021,NA
6/2020,10022,NA
6/2020,10023,0
6/2020,10024,NA
6/2020,10025,7.6
6/2020,10026,NA
6/2020,10027,NA
6/2020,10028,NA
6/2020,10029,7.7
6/2020,10030,NA
6/2020,10031,10.2
6/2020,10032,7.9
6/2020,10033,NA
6/2020,10034,NA
6/2020,10035,34.1
6/2020,10036,NA
6/2020,10037,33.7
6/2020,10038,0
6/2020,10039,22.1
6/2020,10040,15.9
6/2020,10044,NA
6/2020,10065,NA
6/2020,10069,0
6/2020,10075,NA
6/2020,10128,NA
6/2020,10280,NA
6/2020,10282,NA
6/2020,10301,NA
6/2020,10302,0
6/2020,10303,NA
6/2020,10304,16.7
6/2020,10305,11.7
6/2020,10306,9.5
6/2020,10307,NA
6/2020,10308,NA
6/2020,10309,NA
6/2020,10310,NA
6/2020,10312,NA
6/2020,10314,15.1
6/2020,10451,10.6
6/2020,10452,12
6/2020,10453,6.4
6/2020,10454,13.2
6/2020,10455,11.9
6/2020,10456,11.8
6/2020,10457,12.2
6/2020,10458,NA
6/2020,10459,14.6
6/2020,10460,8.5
6/2020,10461,12.2
6/2020,10462,8
6/2020,10463,18.6
6/2020,10464,NA
6/2020,10465,13.9
6/2020,10466,NA
6/2020,10467,6.9
6/2020,10468,16.7
6/2020,10469,12.4
6/2020,10470,NA
6/2020,10471,28.2
6/2020,10472,10.3
6/2020,10473,13.5
6/2020,10474,NA
6/2020,10475,11.7
6/2020,11004,NA
6/2020,11101,0
6/2020,11102,NA
6/2020,11103,NA
6/2020,11104,NA
6/2020,11105,NA
6/2020,11106,NA
6/2020,11109,0
6/2020,11201,9.6
6/2020,11203,8.2
6/2020,11204,10.4
6/2020,11205,NA
6/2020,11206,NA
6/2020,11207,7.9
6/2020,11208,10.5
6/2020,11209,NA
6/2020,11210,10.7
6/2020,11211,4.9
6/2020,11212,13.5
6/2020,11213,9.3
6/2020,11214,6.5
6/2020,11215,NA
6/2020,11216,9.1
6/2020,11217,NA
6/2020,11218,NA
6/2020,11219,6.7
6/2020,11220,8.5
6/2020,11221,7.4
6/2020,11222,NA
6/2020,11223,NA
6/2020,11224,17.3
6/2020,11225,8.7
6/2020,11226,10.3
6/2020,11228,13.3
6/2020,11229,14.4
6/2020,11230,NA
6/2020,11231,NA
6/2020,11232,NA
6/2020,11233,10.8
6/2020,11234,6.4
6/2020,11235,11.5
6/2020,11236,10.3
6/2020,11237,NA
6/2020,11238,NA
6/2020,11239,53.8
6/2020,11354,29.7
6/2020,11355,NA
6/2020,11356,0
6/2020,11357,20.7
6/2020,11358,NA
6/2020,11360,NA
6/2020,11361,NA
6/2020,11362,27.6
6/2020,11363,NA
6/2020,11364,NA
6/2020,11365,NA
6/2020,11366,0
6/2020,11367,NA
6/2020,11368,6.3
6/2020,11369,14.9
6/2020,11370,18.9
6/2020,11372,9.9
6/2020,11373,9.8
6/2020,11374,16.9
6/2020,11375,NA
6/2020,11377,13.1
6/2020,11378,NA
6/2020,11379,21.8
6/2020,11385,5.8
6/2020,11411,NA
6/2020,11412,NA
6/2020,11413,NA
6/2020,11414,NA
6/2020,11415,31.8
6/2020,11416,NA
6/2020,11417,NA
6/2020,11418,NA
6/2020,11419,NA
6/2020,11420,NA
6/2020,11421,0
6/2020,11422,0
6/2020,11423,16.1
6/2020,11426,NA
6/2020,11427,NA
6/2020,11428,NA
6/2020,11429,NA
6/2020,11432,19.8
6/2020,11433,NA
6/2020,11434,9
6/2020,11435,NA
6/2020,11436,NA
6/2020,11691,29.9
6/2020,11692,33.3
6/2020,11693,0
6/2020,11694,NA
6/2020,11697,0
7/2020,10001,NA
7/2020,10002,NA
7/2020,10003,0
7/2020,10004,NA
7/2020,10005,0
7/2020,10006,NA
7/2020,10007,NA
7/2020,10009,0
7/2020,10010,0
7/2020,10011,NA
7/2020,10012,0
7/2020,10013,0
7/2020,10014,NA
7/2020,10016,0
7/2020,10017,NA
7/2020,10018,NA
7/2020,10019,NA
7/2020,10021,0
7/2020,10022,0
7/2020,10023,NA
7/2020,10024,NA
7/2020,10025,NA
7/2020,10026,NA
7/2020,10027,NA
7/2020,10028,NA
7/2020,10029,NA
7/2020,10030,NA
7/2020,10031,NA
7/2020,10032,NA
7/2020,10033,NA
7/2020,10034,NA
7/2020,10035,NA
7/2020,10036,NA
7/2020,10037,NA
7/2020,10038,NA
7/2020,10039,NA
7/2020,10040,NA
7/2020,10044,NA
7/2020,10065,NA
7/2020,10069,0
7/2020,10075,NA
7/2020,10128,0
7/2020,10280,NA
7/2020,10282,0
7/2020,10301,0
7/2020,10302,0
7/2020,10303,NA
7/2020,10304,NA
7/2020,10305,NA
7/2020,10306,NA
7/2020,10307,0
7/2020,10308,0
7/2020,10309,0
7/2020,10310,0
7/2020,10312,0
7/2020,10314,NA
7/2020,10451,NA
7/2020,10452,NA
7/2020,10453,NA
7/2020,10454,NA
7/2020,10455,NA
7/2020,10456,NA
7/2020,10457,NA
7/2020,10458,NA
7/2020,10459,0
7/2020,10460,NA
7/2020,10461,NA
7/2020,10462,NA
7/2020,10463,7.1
7/2020,10464,NA
7/2020,10465,NA
7/2020,10466,NA
7/2020,10467,9.8
7/2020,10468,NA
7/2020,10469,9.6
7/2020,10470,NA
7/2020,10471,NA
7/2020,10472,0
7/2020,10473,NA
7/2020,10474,0
7/2020,10475,NA
7/2020,11004,NA
7/2020,11101,NA
7/2020,11102,NA
7/2020,11103,NA
7/2020,11104,0
7/2020,11105,NA
7/2020,11106,NA
7/2020,11109,0
7/2020,11201,NA
7/2020,11203,NA
7/2020,11204,NA
7/2020,11205,NA
7/2020,11206,NA
7/2020,11207,NA
7/2020,11208,NA
7/2020,11209,NA
7/2020,11210,NA
7/2020,11211,NA
7/2020,11212,NA
7/2020,11213,NA
7/2020,11214,NA
7/2020,11215,0
7/2020,11216,NA
7/2020,11217,NA
7/2020,11218,NA
7/2020,11219,NA
7/2020,11220,NA
7/2020,11221,NA
7/2020,11222,0
7/2020,11223,NA
7/2020,11224,NA
7/2020,11225,NA
7/2020,11226,NA
7/2020,11228,NA
7/2020,11229,NA
7/2020,11230,7.9
7/2020,11231,NA
7/2020,11232,0
7/2020,11233,NA
7/2020,11234,NA
7/2020,11235,6.4
7/2020,11236,NA
7/2020,11237,0
7/2020,11238,0
7/2020,11239,NA
7/2020,11354,9.3
7/2020,11355,6.3
7/2020,11356,0
7/2020,11357,NA
7/2020,11358,NA
7/2020,11360,NA
7/2020,11361,NA
7/2020,11362,NA
7/2020,11363,0
