"","modzcta","avg_testers","avg_offers","wt_avg"
"104",11216,13.25,5,5
"105",11217,67.1666666666667,27.0833333333333,46.5744416873449
"106",11218,67,6,6.28013777267509
"107",11219,293,233.166666666667,237.090443686007
"108",11220,178.166666666667,23.8333333333333,24.355472404116
"109",11221,14.8095238095238,5,5
"110",11222,29.1666666666667,5,5
"111",11223,68.0555555555556,10.1111111111111,18.149387755102
"112",11224,123.611111111111,59.6666666666667,149.995056179775
"113",11225,36.3333333333333,5.05555555555556,5.13455657492355
"114",11226,25.125,5,5
"115",11228,237.555555555556,73.5,92.9829279700655
"116",11229,157.555555555556,28.3888888888889,51.5165726375176
"117",11230,14.5,5,5
"118",11231,18.25,6,7.68493150684932
"119",11232,39,5.33333333333333,5.5982905982906
"120",11233,10.2826086956522,5,5
"121",11234,40.1666666666667,5.41666666666667,5.30082987551867
"122",11235,112.125,31.125,87.3619472315124
"123",11236,43.3333333333333,5.76666666666667,6.39076923076923
"124",11237,85.8888888888889,6.05555555555556,7.21862871927555
"125",11238,17.8888888888889,5,5
"126",11239,29.6666666666667,5,5
"127",11354,251.166666666667,85,85.2402123424021
"128",11355,119.222222222222,31.2222222222222,40.2693383038211
"129",11356,40,5,5
"130",11357,NA,NA,NA
"131",11358,77.5,19.6666666666667,30.8784946236559
"132",11360,NA,NA,NA
"133",11361,215.833333333333,83.5,84.1945945945946
"134",11362,207.5,86.6666666666667,87.0666666666667
"135",11363,NA,NA,NA
"136",11364,221,93.3333333333333,93.7797888386124
"137",11365,150.833333333333,43.8333333333333,80.5093922651934
"138",11366,25.5,5.16666666666667,5.19934640522876
"139",11367,32.9444444444444,8.11111111111111,8.6424957841484
"140",11368,55.8333333333333,5.33333333333333,5.63283582089552
"141",11369,NA,NA,NA
"142",11370,NA,NA,NA
"143",11372,167.083333333333,17.4166666666667,17.9331670822943
"144",11373,149.666666666667,28.1666666666667,36.8090200445434
"145",11374,231.5,56.6666666666667,56.3124550035997
"146",11375,87.75,28.1666666666667,45.7388414055081
"147",11377,234.166666666667,28,28.8298932384342
"148",11378,329.333333333333,53.1666666666667,54.5131578947368
"149",11379,32.1111111111111,6.88888888888889,7.70588235294118
"150",11385,64.2916666666667,15.4166666666667,22.3668178872327
"151",11411,NA,NA,NA
"152",11412,19.75,5,5
"153",11413,23.1,5,5
"154",11414,15.9444444444444,5.05555555555556,5.11498257839721
"155",11415,NA,NA,NA
"156",11416,151.5,12.3333333333333,12.6743674367437
"157",11417,142.25,13.9166666666667,14.7106033977739
"158",11418,NA,NA,NA
"159",11419,NA,NA,NA
"160",11420,45.7222222222222,5.16666666666667,5.27825030376671
"161",11421,NA,NA,NA
"162",11422,24.9166666666667,5,5
"163",11423,71.0833333333333,6,6.52989449003517
"164",11426,32.75,5.83333333333333,5.9440203562341
"165",11427,NA,NA,NA
"166",11428,62,5.83333333333333,6.51478494623656
"167",11429,NA,NA,NA
"168",11432,39.0434782608696,11.4782608695652,15.7115812917595
"169",11433,NA,NA,NA
"170",11434,NA,NA,NA
"171",11435,168.666666666667,18.8333333333333,19.0474308300395
"172",11436,NA,NA,NA
"173",11691,17.7222222222222,5,5
"174",11692,7.75,5,5
"175",11693,6.41666666666667,5,5
"176",11694,33.2916666666667,12.7083333333333,27.3829787234043
"177",11697,NA,NA,NA
"178",99999,NA,NA,NA
"179",NA,NA,NA,NA
