"","dbn","feeder_school","n_hs_applicants","n_testers","n_offers","year","zip"
"264","18K366","THE SCIENCE AND MEDICINE MIDDLE SCHOOL",65,65,5,"2015"," 11236"
"265","18K581","EAST FLATBUSH COMMUNITY RESEARCH SCHOOL",21,21,5,"2015"," 11203"
"266","18K588","MIDDLE SCHOOL FOR ART AND PHILOSOPHY",14,14,5,"2015"," 11212"
"267","18K763","BROOKLYN SCIENCE AND ENGINEERING ACADEMY",5,5,5,"2015"," 11203"
"268","19K089","P.S. 089 CYPRESS HILLS",13,13,5,"2015"," 11207"
"269","19K171","I.S. 171 ABRAHAM LINCOLN",28,28,5,"2015"," 11208"
"270","19K218","J.H.S. 218 JAMES P. SINNOTT",21,21,5,"2015"," 11208"
"271","19K292","J.H.S. 292 MARGARET S. DOUGLAS",55,55,5,"2015"," 11207"
"272","19K364","I.S. 364 GATEWAY",31,31,5,"2015"," 11239"
"273","19K404","ACADEMY FOR YOUNG WRITERS",7,7,5,"2015"," 11208"
"274","19K409","EAST NEW YORK FAMILY ACADEMY",10,10,5,"2015"," 11207"
"275","19K422","SPRING CREEK COMMUNITY SCHOOL",12,12,5,"2015"," 11208"
"276","19K452","FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL",46,46,5,"2015"," 11239"
"277","19K654","VAN SICLEN COMMUNITY MIDDLE SCHOOL",19,19,5,"2015"," 11207"
"278","19K661","VISTA ACADEMY",12,12,5,"2015"," 11208"
"279","19K662","LIBERTY AVENUE MIDDLE SCHOOL",30,30,5,"2015"," 11208"
"280","19K663","SCHOOL OF THE FUTURE BROOKLYN",15,15,5,"2015"," 11207"
"281","19K678","EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE",15,15,5,"2015"," 11208"
"282","19K760","HIGHLAND PARK COMMUNITY SCHOOL",5,5,5,"2015"," 11208"
"283","20K030","P.S./I.S. 30 MARY WHITE OVINGTON",62,62,6,"2015"," 11209"
"284","20K062","J.H.S. 062 DITMAS",117,117,7,"2015"," 11218"
"285","20K104","P.S./I.S. 104 THE FORT HAMILTON SCHOOL",74,74,11,"2015"," 11209"
"286","20K163","P.S. 163 BATH BEACH",29,29,5,"2015"," 11214"
"287","20K180","THE SEEALL ACADEMY",90,90,17,"2015"," 11204"
"288","20K187","THE CHRISTA MCAULIFFE SCHOOL\I.S. 187",341,341,296,"2015"," 11219"
"289","20K192","P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY",14,14,5,"2015"," 11204"
"290","20K201","J.H.S. 201 THE DYKER HEIGHTS",298,298,116,"2015"," 11228"
"291","20K220","J.H.S. 220 JOHN J. PERSHING",203,203,32,"2015"," 11220"
"292","20K223","J.H.S. 223 THE MONTAUK",124,124,13,"2015"," 11204"
"293","20K227","J.H.S. 227 EDWARD B. SHALLOW",199,199,23,"2015"," 11204"
"294","20K229","P.S. 229 DYKER",62,62,15,"2015"," 11228"
"295","20K259","J.H.S. 259 WILLIAM MCKINLEY",253,253,93,"2015"," 11228"
"296","20K609","URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE",13,13,5,"2015"," 11204"
